GEO_ID,NAME,HouseholdsPerPerson,DP04_0001E,Population
39003,"Allen County, Ohio",0.440800849,44870,101792
39007,"Ashtabula County, Ohio",0.477045109,46489,97452
39013,"Belmont County, Ohio",0.478731315,31546,65895
39017,"Butler County, Ohio",0.401370842,155648,387791
39023,"Clark County, Ohio",0.450499827,61154,135747
39025,"Clermont County, Ohio",0.421891007,88541,209867
39029,"Columbiana County, Ohio",0.455881481,46158,101250
39035,"Cuyahoga County, Ohio",0.49295725,615116,1247808
39041,"Delaware County, Ohio",0.390996718,86483,221186
39043,"Erie County, Ohio",0.514082063,38514,74918
39045,"Fairfield County, Ohio",0.398350932,64207,161182
39049,"Franklin County, Ohio",0.451450408,594813,1317560
39055,"Geauga County, Ohio",0.393929889,37679,95649
39057,"Greene County, Ohio",0.432427757,72487,167628
39061,"Hamilton County, Ohio",0.46125624,381690,827501
39063,"Hancock County, Ohio",0.45444333,33981,74775
39085,"Lake County, Ohio",0.458602292,106498,232223
39089,"Licking County, Ohio",0.407380447,73313,179962
39093,"Lorain County, Ohio",0.435013448,136666,314165
39095,"Lucas County, Ohio",0.468161915,201010,429360
39099,"Mahoning County, Ohio",0.476910304,107993,226443
39101,"Marion County, Ohio",0.418949335,27362,65311
39103,"Medina County, Ohio",0.415014891,76088,183338
39109,"Miami County, Ohio",0.431819428,47235,109386
39113,"Montgomery County, Ohio",0.471457693,252781,536169
39119,"Muskingum County, Ohio",0.44267332,38324,86574
39133,"Portage County, Ohio",0.449219389,71416,158978
39139,"Richland County, Ohio",0.436162998,54663,125327
39141,"Ross County, Ohio",0.418957408,32067,76540
39145,"Scioto County, Ohio",0.452980332,33073,73012
39151,"Stark County, Ohio",0.449602445,167998,373659
39153,"Summit County, Ohio",0.4600733,247173,537247
39155,"Trumbull County, Ohio",0.468959115,94469,201444
39157,"Tuscarawas County, Ohio",0.44122538,40861,92608
39159,"Union County, Ohio",0.389341115,25350,65110
39165,"Warren County, Ohio",0.390925444,96489,246822
39169,"Wayne County, Ohio",0.40445539,46969,116129
39173,"Wood County, Ohio",0.443140926,57755,130331
